timestamp,packet_id,temperature,humidity,gas,alert,temp_alert,gas_alert,buzzer,buzzer_manual,alert_cause
2026-06-03T01:05:06.128188,37,29.0,33,469,0,0,0,0,1,none
2026-06-03T01:05:08.268622,38,29.0,32,484,0,0,0,0,1,none
2026-06-03T01:05:10.448431,39,29.0,32,487,0,0,0,0,1,none
2026-06-03T01:05:12.659208,40,29.0,32,504,1,0,1,0,1,gas
2026-06-03T01:05:14.799829,41,29.0,33,474,0,0,0,0,1,none
2026-06-03T01:05:16.956128,42,29.0,32,422,0,0,0,0,1,none
2026-06-03T01:05:19.127987,43,29.0,33,384,0,0,0,0,1,none
2026-06-03T01:05:21.277689,44,29.0,32,356,0,0,0,0,1,none
2026-06-03T01:05:23.399422,45,29.0,33,336,0,0,0,0,1,none
2026-06-03T01:05:25.604486,46,29.0,32,320,0,0,0,0,1,none
2026-06-03T01:05:27.756693,47,29.0,33,307,0,0,0,0,1,none
2026-06-03T01:05:29.932636,48,29.0,33,297,0,0,0,0,1,none
2026-06-03T01:05:32.097228,49,29.0,33,289,0,0,0,0,1,none
2026-06-03T01:05:34.230478,50,29.0,33,282,0,0,0,0,1,none
2026-06-03T01:05:36.393689,51,29.0,33,276,0,0,0,0,1,none
2026-06-03T01:05:38.549785,52,29.0,33,270,0,0,0,0,1,none
2026-06-03T01:05:40.745578,53,29.0,33,266,0,0,0,0,1,none
2026-06-03T01:05:42.901432,54,29.0,33,262,0,0,0,0,1,none
2026-06-03T01:05:45.112435,55,29.0,33,256,0,0,0,0,1,none
2026-06-03T01:05:47.220429,56,29.0,33,251,0,0,0,0,1,none
2026-06-03T01:05:49.417598,57,29.0,33,246,0,0,0,0,1,none
2026-06-03T01:05:51.500820,58,29.0,33,243,0,0,0,0,1,none
2026-06-03T01:05:53.682874,59,29.0,33,239,0,0,0,0,1,none
2026-06-03T01:05:55.846940,60,29.0,33,236,0,0,0,0,1,none
2026-06-03T01:05:57.993412,61,29.0,33,233,0,0,0,0,1,none
2026-06-03T01:06:00.182774,62,29.0,33,230,0,0,0,0,1,none
2026-06-03T01:06:02.354827,63,29.0,33,227,0,0,0,0,1,none
2026-06-03T01:06:04.518708,64,29.0,33,225,0,0,0,0,1,none
2026-06-03T01:06:06.672865,65,29.0,33,223,0,0,0,0,1,none
2026-06-03T01:06:08.813506,66,29.0,33,221,0,0,0,0,1,none
2026-06-03T01:06:11.018668,67,29.0,33,219,0,0,0,0,1,none
2026-06-03T01:06:13.194280,68,29.0,33,217,0,0,0,0,1,none
2026-06-03T01:06:15.307677,69,29.0,33,214,0,0,0,0,1,none
2026-06-03T01:06:17.549981,70,29.0,33,212,0,0,0,0,1,none
2026-06-03T01:06:19.643776,71,29.0,33,211,0,0,0,0,1,none
2026-06-03T01:06:21.807653,72,29.0,33,210,0,0,0,0,1,none
2026-06-03T01:06:23.932573,73,29.0,33,208,0,0,0,0,1,none
2026-06-03T01:06:26.127942,74,29.0,33,207,0,0,0,0,1,none
2026-06-03T01:06:28.260677,75,29.0,33,206,0,0,0,0,1,none
2026-06-03T01:06:30.466561,76,29.0,33,205,0,0,0,0,1,none
2026-06-03T01:06:32.586690,77,29.0,33,204,0,0,0,0,1,none
2026-06-03T01:06:34.776868,78,29.0,33,203,0,0,0,0,1,none
2026-06-03T01:06:36.924966,79,29.0,33,203,0,0,0,0,1,none
2026-06-03T01:06:39.069120,80,29.0,33,201,0,0,0,0,1,none
2026-06-03T01:06:41.237209,81,29.0,33,201,0,0,0,0,1,none
2026-06-03T01:06:43.424744,82,29.0,33,200,0,0,0,0,1,none
2026-06-03T01:06:45.597145,83,29.0,33,199,0,0,0,0,1,none
2026-06-03T01:06:47.760667,84,29.0,33,198,0,0,0,0,1,none
2026-06-03T01:06:49.901462,85,29.0,33,198,0,0,0,0,1,none
2026-06-03T01:06:52.088818,86,29.0,33,197,0,0,0,0,1,none
2026-06-03T01:06:54.229403,87,29.0,33,196,0,0,0,0,1,none
2026-06-03T01:06:56.456157,88,29.0,33,195,0,0,0,0,1,none
2026-06-03T01:06:58.565397,89,29.0,33,195,0,0,0,0,1,none
2026-06-03T01:07:00.713734,90,29.0,33,196,0,0,0,0,1,none
2026-06-03T01:07:02.877749,91,29.0,33,195,0,0,0,0,1,none
2026-06-03T01:07:05.094182,92,29.0,33,195,0,0,0,0,1,none
2026-06-03T01:07:07.174716,93,29.0,33,194,0,0,0,0,1,none
2026-06-03T01:07:09.377838,94,29.0,33,193,0,0,0,0,1,none
2026-06-03T01:07:11.542065,95,29.0,33,193,0,0,0,0,1,none
2026-06-03T01:07:13.682922,96,29.0,33,192,0,0,0,0,1,none
2026-06-03T01:07:15.854523,97,29.0,33,192,0,0,0,0,1,none
2026-06-03T01:07:18.057543,98,29.0,33,192,0,0,0,0,1,none
2026-06-03T01:07:20.191249,99,29.0,33,191,0,0,0,0,1,none
2026-06-03T01:07:22.326724,100,29.0,33,191,0,0,0,0,1,none
2026-06-03T01:07:24.542495,101,29.0,33,190,0,0,0,0,1,none
2026-06-03T01:07:26.677187,102,29.0,33,190,0,0,0,0,1,none
2026-06-03T01:07:28.847864,103,29.0,33,190,0,0,0,0,1,none
2026-06-03T01:07:30.997982,104,29.0,33,189,0,0,0,0,1,none
2026-06-03T01:07:33.182635,105,29.0,33,188,0,0,0,0,1,none
2026-06-03T01:07:35.307658,106,29.0,33,188,0,0,0,0,1,none
2026-06-03T01:07:37.518608,107,29.0,33,188,0,0,0,0,1,none
2026-06-03T01:07:39.620257,108,29.0,33,187,0,0,0,0,1,none
2026-06-03T01:07:41.854839,109,29.0,33,187,0,0,0,0,1,none
2026-06-03T01:07:44.007751,110,29.0,33,187,0,0,0,0,1,none
2026-06-03T01:07:46.143676,111,29.0,33,186,0,0,0,0,1,none
2026-06-03T01:07:48.378105,112,29.0,33,186,0,0,0,0,1,none
2026-06-03T01:07:50.479582,113,29.0,33,186,0,0,0,0,1,none
2026-06-03T01:07:52.637599,114,29.0,33,186,0,0,0,0,1,none
2026-06-03T01:07:54.776320,115,29.0,33,185,0,0,0,0,1,none
2026-06-03T01:07:56.971797,116,29.0,33,185,0,0,0,0,1,none
2026-06-03T01:07:59.104482,117,29.0,33,185,0,0,0,0,1,none
2026-06-03T01:08:01.307624,118,29.0,33,185,0,0,0,0,1,none
2026-06-03T01:08:03.479878,119,29.0,33,184,0,0,0,0,1,none
2026-06-03T01:08:05.596841,120,29.0,33,184,0,0,0,0,1,none
2026-06-03T01:08:07.766549,121,28.0,34,183,0,0,0,0,1,none
2026-06-03T01:08:09.979445,122,29.0,33,183,0,0,0,0,1,none
2026-06-03T01:08:12.120185,123,28.0,34,183,0,0,0,0,1,none
2026-06-03T01:08:14.303581,124,28.0,34,183,0,0,0,0,1,none
2026-06-03T01:08:16.417014,125,28.0,34,182,0,0,0,0,1,none
2026-06-03T01:08:18.588842,126,28.0,34,182,0,0,0,0,1,none
2026-06-03T01:08:20.737828,127,28.0,34,182,0,0,0,0,1,none
2026-06-03T01:08:22.899314,128,28.0,34,182,0,0,0,0,1,none
2026-06-03T01:08:25.096781,129,28.0,34,181,0,0,0,0,1,none
2026-06-03T01:08:27.252907,130,29.0,33,182,0,0,0,0,1,none
2026-06-03T01:08:29.368313,131,28.0,34,181,0,0,0,0,1,none
2026-06-03T01:08:31.573242,132,28.0,34,181,0,0,0,0,1,none
2026-06-03T01:08:33.705935,133,28.0,34,180,0,0,0,0,1,none
2026-06-03T01:08:35.862268,134,28.0,34,181,0,0,0,0,1,none
2026-06-03T01:08:38.081035,135,28.0,34,180,0,0,0,0,1,none
2026-06-03T01:08:40.253407,136,28.0,34,180,0,0,0,0,1,none
2026-06-03T01:08:42.378300,137,28.0,34,180,0,0,0,0,1,none
2026-06-03T01:08:44.534170,138,28.0,34,180,0,0,0,0,1,none
2026-06-03T01:08:46.729378,139,28.0,34,180,0,0,0,0,1,none
2026-06-03T01:08:48.886116,140,28.0,34,179,0,0,0,0,1,none
2026-06-03T01:08:50.997165,141,28.0,34,179,0,0,0,0,1,none
2026-06-03T01:08:53.198384,142,28.0,34,179,0,0,0,0,1,none
2026-06-03T01:08:55.386192,143,28.0,34,179,0,0,0,0,1,none
2026-06-03T01:08:57.525232,144,28.0,34,179,0,0,0,0,1,none
2026-06-03T01:08:59.730976,145,28.0,34,179,0,0,0,0,1,none
2026-06-03T01:09:01.862252,146,28.0,34,179,0,0,0,0,1,none
2026-06-03T01:09:04.026605,147,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:09:06.199792,148,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:09:08.362250,149,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:09:10.498504,150,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:09:12.658926,151,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:09:14.829279,152,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:09:17.002695,153,28.0,34,178,0,0,0,0,1,none
2026-06-03T01:09:19.244919,154,28.0,34,177,0,0,0,0,1,none
2026-06-03T01:09:21.291761,155,28.0,34,177,0,0,0,0,1,none
2026-06-03T01:09:23.479353,156,28.0,34,177,0,0,0,0,1,none
2026-06-03T01:09:25.628273,157,28.0,34,177,0,0,0,0,1,none
2026-06-03T01:09:27.774922,158,28.0,34,177,0,0,0,0,1,none
2026-06-03T01:09:30.027788,159,28.0,34,177,0,0,0,0,1,none
2026-06-03T01:09:32.143450,160,28.0,34,177,0,0,0,0,1,none
2026-06-03T01:09:34.307895,161,28.0,34,177,0,0,0,0,1,none
2026-06-03T01:09:36.487111,162,28.0,34,177,0,0,0,0,1,none
2026-06-03T01:09:38.651060,163,28.0,34,177,0,0,0,0,1,none
2026-06-03T01:09:40.753832,164,28.0,34,176,0,0,0,0,1,none
2026-06-03T01:09:42.979379,165,28.0,34,176,0,0,0,0,1,none
2026-06-03T01:09:45.120008,166,28.0,34,176,0,0,0,0,1,none
2026-06-03T01:09:47.299578,167,28.0,34,176,0,0,0,0,1,none
2026-06-03T01:09:49.542212,168,28.0,34,176,0,0,0,0,1,none
2026-06-03T01:09:51.620176,169,28.0,34,176,0,0,0,0,1,none
2026-06-03T01:09:53.776381,170,28.0,34,176,0,0,0,0,1,none
2026-06-03T01:09:55.909077,171,28.0,34,176,0,0,0,0,1,none
2026-06-03T01:09:58.066414,172,28.0,34,176,0,0,0,0,1,none
2026-06-03T01:10:00.250741,173,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:02.440211,174,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:04.565792,175,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:06.744977,176,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:08.885800,177,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:11.049677,178,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:13.237208,179,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:15.416956,180,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:17.549790,181,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:19.729357,182,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:21.862174,183,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:24.065328,184,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:26.231655,185,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:28.401863,186,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:30.523976,187,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:32.706264,188,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:34.909238,189,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:10:37.000559,190,28.0,34,175,0,0,0,0,1,none
2026-06-03T01:10:39.190187,191,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:10:41.359879,192,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:10:43.528186,193,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:10:45.698000,194,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:10:47.870138,195,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:10:50.008370,196,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:10:52.151171,197,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:10:54.322931,198,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:10:56.471506,199,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:10:58.658847,200,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:00.799605,201,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:02.955723,202,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:05.114000,203,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:07.307365,204,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:09.494821,205,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:11.662366,206,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:13.789520,207,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:15.955838,208,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:18.158809,209,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:20.259008,210,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:22.479082,211,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:24.588165,212,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:26.807836,213,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:28.918472,214,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:31.094245,215,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:33.276735,216,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:11:35.427872,217,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:11:37.611942,218,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:11:39.775915,219,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:11:41.924573,220,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:44.072890,221,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:11:46.213588,222,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:48.416569,223,28.0,34,174,0,0,0,0,1,none
2026-06-03T01:11:50.612013,224,28.0,33,173,0,0,0,0,1,none
2026-06-03T01:11:52.736904,225,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:11:54.875687,226,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:11:57.096273,227,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:11:59.229089,228,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:12:01.408807,229,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:12:03.567039,230,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:12:05.713484,231,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:12:07.854140,232,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:12:10.065319,233,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:12:12.205769,234,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:12:14.393239,235,28.0,34,173,0,0,0,0,1,none
2026-06-03T01:12:16.500341,236,28.0,34,173,0,0,0,0,1,none
